sūtra ID,sūtra,laghuvṛtti
1.2.12,ऐदौत् सन्ध्यक्षरैः॥,"अवर्णस्य सन्ध्यक्षरैः परैः सह ऐ औ इत्येतौ स्याताम्। तवैषा, खट्वैषा, तवैन्द्री, सैन्द्री, तवौदनः, तवौपगवः॥१२॥"
1.2.13,ऊटा॥,अवर्णस्य परेण ऊटा सह औ: स्यात्। धौत: धौतवान्॥ १३॥
1.2.14,प्रस्यैषैष्योढोढ्यूहे स्वरेण॥,"प्रावर्णस्य एषादिषु परेषु परेण स्वरेण सह ऐ-औ स्याताम्। प्रैषः, प्रैष्यः, प्रौढः, प्रौढिः प्रौहः॥१४॥"
1.2.15,स्वैरस्वैर्यक्षौहिण्याम्॥,"स्वैरादिष्ववर्णस्य परेण स्वरेण सह ऐ-औ स्याताम्। स्वैरः, स्वैरी, अक्षौहिणी॥१५॥"
1.2.16,अनियोगे लुगेवे॥,"अनियोगो अनवधारणम्, तद्विषये एवे परेऽवर्णस्य लुक् स्यात्। इहेव तिष्ठ, अद्येव गच्छ। नियोगे तु - इहैव तिष्ठ, मा गाः॥ १६॥"
1.2.17,वौष्ठौतौ समासे॥,"ओष्ठौत्वोः परयोः समासेऽवर्णस्य लुग् वा स्यात्। बिम्बोष्ठी, बिम्बौष्ठी; स्थूलोतु:, स्थूलौतुः। समास इति किम्? हे पुत्रौष्ठं पश्य॥१७॥"
1.2.18,ओमाङि॥,"अवर्णस्य ओमि आङादेशे च परे लुक् स्यात्। अद्योम्, सोम्, आ ऊढा ओढा अद्योढा, सोढा॥१८॥"
1.2.19,उपसर्गस्याऽनिणेधेदोति॥,"उपसर्गस्यावर्णस्य इणेधिवर्जे एदादावोदादौ च धातौ परे लुक् स्यात्। प्रेलयति, परेलयति, प्रोषति, परोषति। अनिणेधिति किम्? उपैप्रैधते॥१९॥"
1.2.20,वा नाम्नि॥,"नामावयवे एदोदादौ धातौ परे उपसर्गावर्णस्य लुग् वा स्यात्। उपेकीयति, उपैकीयति; प्रोषधीयति, प्रौषधीयति॥२०॥"
1.2.21,इवर्णादेरस्वे स्वरे यवरलम्॥,"इ-उ-ऋ-ऌवर्णानामस्वे स्वरे परे यथासंख्यं य् व् र् ल् इत्येते स्युः। दध्यत्र, नद्येषा, मध्वत्र वध्वासनम् पित्रर्थः, क्रादिः, लित्, लाकृतिः॥२१॥"
1.2.22,हस्वोऽपदे वा॥,"इवर्णादीनामस्वे स्वरे 'परे ह्रस्वो वा स्यात्, न चेत् तौ निमित्तनिमित्तिनावेकत्र पदे स्याताम्। नदि एषा, नद्येषा। मधु अत्र मध्वत्र। अपद इति किम्? नद्यौ नद्यर्थः॥२२॥"
1.2.23,एदैतोऽयाय्॥,"एदैतोः स्वरे परे यथासंख्यम् अय् आय् इत्येतौ स्याताम्। नयनम्, वृक्षयेव, नायकः, रायैन्द्री॥२३॥"
